일시,광진구,동대문구,성동구,중랑구
20220228,12.464,10.882,10.226,7.462
20220301,12.405,10.842,10.186,7.435
20220302,12.313,10.759,10.088,7.377
20220303,12.169,10.646,9.906,7.286
20220304,12.0,10.532,9.673,7.188
20220305,11.907,10.457,9.512,7.117
20220306,11.839,10.406,9.388,7.063
20220307,11.782,10.393,9.321,7.037
20220308,11.738,10.403,9.316,7.037
20220309,11.712,10.412,9.362,7.053
20220310,11.692,10.428,9.434,7.076
20220311,11.664,10.442,9.491,7.092
20220312,11.614,10.442,9.507,7.091
20220313,11.537,10.4,9.461,7.06
20220314,11.455,10.322,9.356,7.0
20220315,11.393,10.235,9.198,6.925
20220316,11.315,10.138,8.982,6.827
20220317,11.218,10.053,8.8,6.745
20220318,11.102,9.977,8.677,6.681
20220319,10.997,9.914,8.62,6.634
20220320,10.897,9.864,8.602,6.602
20220321,10.812,9.833,8.62,6.586
20220322,10.743,9.815,8.659,6.584
20220323,10.686,9.806,8.702,6.591
20220324,10.65,9.802,8.737,6.6
20220325,10.648,9.8,8.749,6.605
20220326,10.682,9.803,8.723,6.602
20220327,10.728,9.805,8.646,6.588
20220328,10.755,9.799,8.563,6.572
20220329,10.739,9.773,8.488,6.55
20220330,10.69,9.739,8.435,6.525
20220331,10.629,9.708,8.413,6.505
20220401,10.564,9.681,8.412,6.488
20220402,10.503,9.659,8.426,6.477
20220403,10.455,9.643,8.45,6.472
20220404,10.429,9.635,8.479,6.473
20220405,10.424,9.636,8.505,6.479
20220406,10.445,9.648,8.525,6.491
20220407,10.487,9.672,8.539,6.507
20220408,10.543,9.702,8.552,6.526
20220409,10.604,9.735,8.572,6.546
20220410,10.66,9.768,8.598,6.568
20220411,10.705,9.798,8.632,6.59
20220412,10.739,9.827,8.679,6.614
20220413,10.768,9.853,8.736,6.64
20220414,10.795,9.88,8.799,6.666
20220415,10.826,9.908,8.863,6.694
20220416,10.863,9.937,8.921,6.722
20220417,10.909,9.97,8.974,6.75
20220418,10.964,10.004,9.021,6.779
20220419,11.023,10.04,9.068,6.808
20220420,11.083,10.077,9.115,6.838
20220421,11.143,10.114,9.168,6.869
20220422,11.197,10.149,9.22,6.898
20220423,11.245,10.181,9.273,6.926
20220424,11.287,10.21,9.325,6.952
20220425,11.325,10.237,9.374,6.977
20220426,11.363,10.262,9.419,7.0
20220427,11.398,10.285,9.457,7.02
20220428,11.433,10.307,9.49,7.039
20220429,11.467,10.327,9.516,7.055
20220430,11.499,10.345,9.541,7.068
20220501,11.53,10.363,9.562,7.081
20220502,11.558,10.38,9.582,7.093
20220503,11.581,10.395,9.601,7.104
20220504,11.602,10.409,9.62,7.113
20220505,11.621,10.422,9.639,7.122
20220506,11.638,10.432,9.656,7.13
20220507,11.652,10.441,9.669,7.137
20220508,11.665,10.449,9.678,7.142
20220509,11.676,10.455,9.684,7.146
20220510,11.685,10.459,9.687,7.149
20220511,11.693,10.462,9.686,7.15
20220512,11.698,10.463,9.683,7.151
20220513,11.702,10.464,9.678,7.151
20220514,11.704,10.465,9.673,7.15
20220515,11.704,10.465,9.668,7.149
20220516,11.702,10.465,9.664,7.148
20220517,11.699,10.464,9.659,7.147
20220518,11.695,10.463,9.653,7.145
20220519,11.689,10.461,9.646,7.143
20220520,11.682,10.457,9.638,7.139
20220521,11.675,10.453,9.628,7.135
20220522,11.667,10.448,9.617,7.13
20220523,11.659,10.443,9.604,7.125
20220524,11.65,10.438,9.591,7.119
20220525,11.64,10.433,9.578,7.113
20220526,11.63,10.427,9.567,7.108
20220527,11.62,10.422,9.556,7.103
20220528,11.609,10.417,9.547,7.098
20220529,11.599,10.412,9.538,7.094
20220530,11.589,10.407,9.53,7.089
20220531,11.579,10.402,9.522,7.085
20220601,11.569,10.397,9.513,7.08
20220602,11.559,10.392,9.504,7.076
20220603,11.55,10.386,9.495,7.071
20220604,11.541,10.381,9.486,7.066
20220605,11.532,10.376,9.477,7.062
20220606,11.524,10.371,9.469,7.057
20220607,11.516,10.367,9.462,7.053
20220608,11.508,10.363,9.457,7.05
20220609,11.501,10.359,9.453,7.047
20220610,11.494,10.356,9.449,7.045
20220611,11.488,10.353,9.446,7.042
20220612,11.483,10.35,9.444,7.04
20220613,11.478,10.347,9.441,7.038
20220614,11.474,10.344,9.438,7.037
20220615,11.471,10.342,9.436,7.035
20220616,11.468,10.34,9.434,7.033
20220617,11.465,10.338,9.432,7.032
20220618,11.463,10.337,9.431,7.031
20220619,11.461,10.336,9.43,7.031
20220620,11.46,10.336,9.431,7.031
20220621,11.459,10.335,9.432,7.031
20220622,11.459,10.336,9.434,7.032
20220623,11.459,10.336,9.437,7.033
20220624,11.46,10.337,9.439,7.034
20220625,11.461,10.338,9.442,7.035
20220626,11.463,10.339,9.444,7.036
20220627,11.465,10.34,9.446,7.037
20220628,11.467,10.341,9.448,7.038
20220629,11.469,10.342,9.45,7.039
20220630,11.471,10.343,9.452,7.04
20220701,11.473,10.345,9.455,7.042
20220702,11.476,10.347,9.458,7.043
20220703,11.479,10.348,9.462,7.045
20220704,11.481,10.351,9.465,7.047
20220705,11.484,10.353,9.469,7.049
20220706,11.487,10.355,9.473,7.051
20220707,11.491,10.357,9.476,7.053
20220708,11.494,10.359,9.479,7.055
20220709,11.497,10.361,9.481,7.056
20220710,11.5,10.362,9.483,7.057
20220711,11.502,10.363,9.485,7.058
20220712,11.505,10.365,9.487,7.059
20220713,11.507,10.366,9.488,7.06
20220714,11.509,10.367,9.49,7.061
20220715,11.511,10.369,9.492,7.062
20220716,11.513,10.37,9.494,7.063
20220717,11.515,10.371,9.496,7.064
20220718,11.517,10.372,9.498,7.065
20220719,11.518,10.373,9.499,7.066
20220720,11.52,10.374,9.5,7.067
20220721,11.521,10.374,9.5,7.067
20220722,11.523,10.375,9.501,7.067
20220723,11.524,10.375,9.5,7.067
20220724,11.524,10.375,9.5,7.068
20220725,11.525,10.376,9.5,7.068
20220726,11.525,10.376,9.5,7.068
20220727,11.525,10.376,9.5,7.068
20220728,11.526,10.376,9.5,7.068
20220729,11.526,10.376,9.5,7.068
20220730,11.526,10.377,9.5,7.068
20220731,11.526,10.376,9.5,7.068
20220801,11.526,10.376,9.5,7.068
20220802,11.525,10.376,9.499,7.067
20220803,11.525,10.376,9.498,7.067
20220804,11.525,10.375,9.497,7.067
20220805,11.524,10.375,9.496,7.066
20220806,11.524,10.375,9.495,7.066
20220807,11.523,10.374,9.494,7.065
20220808,11.522,10.374,9.493,7.065
20220809,11.522,10.374,9.493,7.065
20220810,11.521,10.373,9.493,7.065
20220811,11.52,10.373,9.492,7.064
20220812,11.52,10.373,9.491,7.064
20220813,11.519,10.372,9.491,7.064
20220814,11.518,10.372,9.49,7.063
20220815,11.518,10.371,9.489,7.063
20220816,11.517,10.371,9.488,7.062
20220817,11.516,10.371,9.487,7.062
20220818,11.516,10.37,9.487,7.062
20220819,11.515,10.37,9.486,7.061
20220820,11.514,10.37,9.486,7.061
20220821,11.514,10.369,9.486,7.061
20220822,11.513,10.369,9.485,7.061
20220823,11.513,10.369,9.485,7.061
20220824,11.512,10.369,9.485,7.061
20220825,11.512,10.369,9.485,7.06
20220826,11.512,10.368,9.484,7.06
20220827,11.511,10.368,9.484,7.06
20220828,11.511,10.368,9.484,7.06
20220829,11.511,10.368,9.483,7.06
20220830,11.511,10.368,9.483,7.06
20220831,11.51,10.368,9.483,7.06
20220901,11.51,10.368,9.483,7.06
20220902,11.51,10.368,9.483,7.06
20220903,11.51,10.368,9.484,7.06
20220904,11.51,10.368,9.484,7.06
20220905,11.51,10.368,9.484,7.06
20220906,11.51,10.368,9.484,7.06
20220907,11.51,10.368,9.484,7.06
20220908,11.51,10.368,9.484,7.06
20220909,11.51,10.368,9.484,7.06
20220910,11.51,10.368,9.484,7.06
20220911,11.51,10.368,9.484,7.06
20220912,11.511,10.368,9.484,7.06
20220913,11.511,10.368,9.485,7.06
20220914,11.511,10.368,9.485,7.06
20220915,11.511,10.368,9.485,7.06
20220916,11.511,10.368,9.486,7.06
20220917,11.511,10.368,9.486,7.061
20220918,11.512,10.368,9.486,7.061
20220919,11.512,10.369,9.486,7.061
20220920,11.512,10.369,9.486,7.061
20220921,11.512,10.369,9.486,7.061
20220922,11.512,10.369,9.486,7.061
20220923,11.512,10.369,9.486,7.061
20220924,11.512,10.369,9.486,7.061
20220925,11.513,10.369,9.487,7.061
20220926,11.513,10.369,9.487,7.061
20220927,11.513,10.369,9.487,7.061
20220928,11.513,10.369,9.487,7.061
20220929,11.513,10.369,9.487,7.061
20220930,11.513,10.369,9.487,7.061
20221001,11.513,10.369,9.487,7.061
20221002,11.513,10.369,9.487,7.061
20221003,11.514,10.369,9.487,7.061
20221004,11.514,10.369,9.487,7.061
20221005,11.514,10.369,9.487,7.061
20221006,11.514,10.37,9.487,7.062
20221007,11.514,10.37,9.487,7.062
20221008,11.514,10.37,9.488,7.062
20221009,11.514,10.37,9.488,7.062
20221010,11.514,10.37,9.488,7.062
20221011,11.514,10.37,9.488,7.062
20221012,11.514,10.37,9.488,7.062
20221013,11.514,10.37,9.488,7.062
20221014,11.514,10.37,9.487,7.062
20221015,11.514,10.37,9.487,7.062
20221016,11.514,10.37,9.487,7.061
20221017,11.514,10.37,9.487,7.061
20221018,11.514,10.37,9.487,7.061
20221019,11.514,10.37,9.487,7.061
20221020,11.514,10.37,9.487,7.061
20221021,11.514,10.37,9.487,7.061
20221022,11.514,10.37,9.487,7.061
20221023,11.514,10.369,9.487,7.061
20221024,11.514,10.369,9.487,7.061
20221025,11.514,10.369,9.487,7.061
20221026,11.513,10.369,9.487,7.061
20221027,11.513,10.369,9.487,7.061
20221028,11.513,10.369,9.487,7.061
20221029,11.513,10.369,9.487,7.061
20221030,11.513,10.369,9.487,7.061
20221031,11.513,10.369,9.487,7.061
20221101,11.513,10.369,9.487,7.061
20221102,11.513,10.369,9.487,7.061
20221103,11.513,10.369,9.487,7.061
20221104,11.513,10.369,9.487,7.061
20221105,11.513,10.369,9.487,7.061
20221106,11.513,10.369,9.487,7.061
20221107,11.513,10.369,9.487,7.061
20221108,11.513,10.369,9.487,7.061
20221109,11.513,10.369,9.487,7.061
20221110,11.513,10.369,9.487,7.061
20221111,11.513,10.369,9.487,7.061
20221112,11.513,10.369,9.487,7.061
20221113,11.513,10.369,9.487,7.061
20221114,11.513,10.369,9.487,7.061
20221115,11.513,10.369,9.487,7.061
20221116,11.513,10.369,9.487,7.061
20221117,11.513,10.369,9.487,7.061
20221118,11.513,10.369,9.487,7.061
20221119,11.513,10.369,9.487,7.061
20221120,11.513,10.369,9.487,7.061
20221121,11.513,10.369,9.487,7.061
20221122,11.513,10.369,9.487,7.061
20221123,11.513,10.369,9.487,7.061
20221124,11.513,10.369,9.487,7.061
20221125,11.513,10.369,9.487,7.061
20221126,11.513,10.369,9.487,7.061
20221127,11.513,10.369,9.487,7.061
20221128,11.513,10.369,9.487,7.061
20221129,11.513,10.369,9.487,7.061
20221130,11.513,10.369,9.487,7.061
