,광진구,동대문구,성동구,중랑구
58,0.522,0.354,0.554,0.15
59,0.6,0.474,0.66,0.226
60,1.028,0.75,1.196,0.346
61,2.12,1.04,1.894,0.598
62,0.616,0.446,0.628,0.26
63,1.18,0.746,1.378,0.326
64,1.606,1.032,1.87,0.588
65,1.55,0.938,1.612,0.53
66,0.952,0.688,1.232,0.334
67,1.612,0.998,1.732,0.606
68,1.73,1.004,1.602,0.606
69,2.144,1.018,1.886,0.712
70,2.136,1.244,2.148,0.688
71,2.608,1.462,2.47,0.798
72,3.622,1.838,3.294,1.0
73,1.08,0.6,1.026,0.336
74,2.276,1.414,2.338,0.756
75,2.616,1.326,2.604,0.806
76,1.716,0.922,1.562,0.564
77,1.254,0.848,1.33,0.39
78,1.598,1.094,1.768,0.538
79,1.226,0.724,1.168,0.428
80,2.08,1.274,2.126,0.666
81,2.372,1.368,2.444,0.854
82,1.94,1.168,1.9,0.718
83,2.158,1.036,1.674,0.72
84,2.146,1.242,2.154,0.674
85,2.352,1.53,2.3,0.802
86,2.986,1.718,2.962,1.012
87,2.972,1.79,2.788,1.062
88,3.376,1.886,3.14,1.168
89,3.476,1.852,3.276,1.144
90,3.078,1.66,3.134,1.156
91,3.824,2.186,3.558,1.448
92,3.728,2.08,3.446,1.41
93,3.488,1.952,3.502,1.122
94,0.412,0.244,0.414,0.13
95,1.76,1.032,1.85,0.638
96,1.474,1.036,1.588,0.772
97,0.872,0.616,0.926,0.368
98,3.014,1.798,2.964,1.162
99,2.62,1.564,2.508,0.928
100,3.192,1.968,3.12,1.204
101,3.68,2.152,3.86,1.246
102,3.866,2.092,3.78,1.35
103,0.976,0.674,0.862,0.462
104,1.554,0.912,1.488,0.73
105,3.718,2.156,3.822,1.32
106,3.702,2.264,3.546,1.402
107,3.134,1.98,3.042,1.138
108,2.734,1.472,2.564,0.974
109,3.874,2.008,3.524,1.346
110,4.66,2.214,4.204,1.584
111,1.216,0.606,1.056,0.54
112,0.144,0.086,0.114,0.036
113,2.784,1.864,2.922,1.084
114,4.304,2.368,3.93,1.716
115,4.542,2.426,4.164,1.512
116,4.354,2.38,4.014,1.598
117,4.73,2.112,3.97,1.712
118,4.602,2.164,4.502,1.844
119,4.91,2.328,4.07,1.59
120,5.12,2.476,4.322,1.914
121,1.332,0.664,1.042,0.4
122,3.034,1.936,3.074,1.34
123,4.418,2.422,4.01,1.662
124,5.342,2.266,4.46,1.632
125,2.656,1.12,2.328,1.036
126,5.57,2.394,5.198,2.082
127,4.272,2.486,4.058,1.608
128,5.064,2.732,4.694,1.972
129,5.038,2.756,4.32,1.908
130,4.404,2.634,4.048,1.87
131,0.44,0.314,0.402,0.236
132,4.602,2.186,4.358,1.838
133,4.924,2.754,4.502,1.786
134,4.282,2.69,4.374,1.766
135,1.152,0.656,1.138,0.394
136,0.508,0.342,0.504,0.168
137,2.306,1.39,2.194,0.936
138,5.662,2.786,5.072,2.142
139,4.922,2.314,4.674,2.106
140,5.644,2.842,5.138,2.086
141,2.184,1.25,2.184,0.948
142,4.458,2.526,4.346,1.808
143,4.884,2.77,4.36,1.85
144,4.924,2.632,4.308,1.964
145,5.092,2.55,4.688,2.056
146,5.196,2.418,4.612,2.1
147,5.234,2.956,4.728,2.056
148,3.556,2.464,3.568,1.602
149,5.07,2.69,4.65,2.062
150,5.182,2.994,4.968,2.062
151,5.338,2.85,4.966,2.166
152,5.59,2.618,4.624,2.058
153,5.24,2.472,4.758,2.078
154,5.598,3.168,4.664,2.126
155,5.364,3.162,4.608,2.296
156,5.274,2.518,4.844,2.122
157,5.372,3.044,4.76,2.15
158,5.678,3.176,5.09,2.346
159,4.358,2.426,3.788,1.954
160,4.836,2.514,4.476,2.098
161,4.37,2.464,3.534,1.656
162,5.744,3.194,5.25,2.27
163,6.256,3.358,5.558,2.664
164,4.038,2.08,3.312,1.486
165,5.622,3.132,4.958,2.198
166,6.152,2.954,4.976,2.454
167,5.798,2.888,4.814,2.38
168,4.672,2.686,4.056,1.934
169,5.656,3.38,5.16,2.536
170,5.674,3.394,4.978,2.424
171,6.198,3.508,5.184,2.438
172,6.108,3.228,4.972,2.568
173,5.684,3.088,5.048,2.496
174,5.258,2.58,4.494,2.01
175,5.752,3.314,5.252,2.534
176,0.74,0.502,0.704,0.492
177,4.816,2.754,4.638,2.178
178,3.366,2.138,2.938,1.492
179,4.992,2.772,4.698,2.138
180,3.318,2.01,2.814,1.53
181,0.506,0.31,0.464,0.312
182,0.468,0.318,0.602,0.246
183,4.802,2.778,4.548,2.224
184,5.44,3.104,4.94,2.364
185,4.848,2.856,4.304,2.162
186,6.028,3.444,5.46,2.5
187,6.11,3.01,5.444,2.594
188,6.502,2.99,5.15,2.372
189,1.016,0.562,0.834,0.414
190,3.242,1.826,2.812,1.334
191,4.512,2.386,3.854,1.732
192,5.434,3.014,4.992,2.444
193,5.408,3.036,4.848,2.39
194,4.964,2.622,3.928,2.196
195,4.286,2.306,3.494,1.864
196,5.27,2.962,4.328,2.082
197,5.146,3.042,4.662,2.31
198,5.158,3.08,4.556,2.236
199,5.13,3.154,4.332,2.256
200,4.844,2.934,4.244,2.22
201,4.098,2.346,3.214,1.86
202,3.706,1.852,2.78,1.616
203,4.828,2.696,4.362,1.974
204,4.614,2.66,4.11,2.016
205,4.612,2.714,4.284,2.1
206,4.626,2.618,4.066,2.068
207,3.904,2.356,3.732,1.974
208,3.252,1.808,2.416,1.57
209,3.656,1.95,2.962,1.544
210,4.62,2.568,4.042,1.892
211,4.414,2.412,3.906,1.896
212,3.874,2.236,3.426,1.62
213,3.966,2.194,3.364,1.656
214,3.832,2.262,3.606,1.71
215,3.636,1.856,2.824,1.536
216,3.522,1.744,2.828,1.48
217,3.48,2.246,3.028,1.69
218,4.564,2.606,4.046,1.85
219,4.7,2.57,3.86,2.028
220,3.714,2.124,3.248,1.782
221,4.604,2.57,3.902,1.968
222,4.242,2.28,3.216,1.734
223,3.992,1.84,2.732,1.354
224,4.642,2.538,3.97,1.782
225,4.67,2.766,4.028,1.95
226,3.304,1.864,2.836,1.45
227,5.412,2.99,4.552,2.192
228,6.114,3.232,5.272,2.288
229,6.202,2.842,5.138,2.382
230,5.626,2.84,4.698,2.316
231,5.216,3.124,4.93,2.242
232,5.028,3.11,4.512,2.102
233,5.446,3.134,4.72,2.124
234,2.892,1.656,2.43,1.334
235,1.85,1.122,1.658,0.722
236,5.794,3.19,5.258,2.396
237,3.844,2.09,3.322,1.728
238,2.888,1.688,2.458,1.164
239,1.798,1.05,1.364,0.816
240,1.752,0.88,1.318,0.52
241,4.33,1.918,3.356,1.37
242,5.86,3.156,5.14,2.174
243,5.654,2.99,4.616,2.274
244,6.662,3.178,5.676,2.522
245,2.404,1.374,1.74,0.894
246,6.474,3.502,5.43,2.49
247,7.338,3.898,5.862,2.748
248,5.384,3.44,4.426,2.046
249,6.992,3.81,6.048,2.754
250,7.328,3.566,6.212,2.854
251,6.908,3.468,5.716,2.684
252,7.156,3.962,5.764,2.906
253,7.036,3.99,5.52,2.918
254,7.606,3.962,6.028,2.994
255,6.988,4.006,5.792,2.952
256,5.812,3.646,5.25,2.704
257,5.852,3.066,4.85,2.4
258,3.168,1.716,2.57,1.53
259,6.8,3.962,5.712,3.006
260,7.248,4.21,5.912,2.886
261,5.88,3.488,4.818,2.462
262,2.96,2.02,2.446,1.25
263,3.892,2.35,2.966,1.728
264,6.262,2.964,5.302,2.668
265,4.47,2.286,4.13,2.062
266,4.374,1.9,3.996,2.008
267,6.29,2.586,5.224,2.34
268,7.42,3.214,6.522,2.726
269,7.838,4.18,6.246,2.866
270,7.628,4.194,6.178,3.088
271,8.014,3.752,6.982,3.08
272,7.148,3.676,5.948,2.694
273,6.446,3.948,5.258,2.744
274,7.14,3.944,5.972,3.058
275,8.724,3.982,6.936,3.128
276,7.52,3.996,6.198,2.992
277,1.076,0.552,0.664,0.462
278,3.698,2.004,3.458,1.502
279,7.168,3.748,6.23,2.732
280,7.306,3.908,6.006,2.744
281,7.552,3.882,6.854,2.708
282,5.486,3.28,4.552,2.224
283,5.416,3.432,4.518,2.178
284,5.634,3.306,4.674,2.326
285,5.99,3.274,5.22,2.372
286,5.804,3.042,4.948,2.436
287,6.32,3.606,5.118,2.512
288,6.152,3.616,5.204,2.394
289,5.858,3.624,4.884,2.546
290,5.816,3.642,4.82,2.498
291,6.032,3.7,5.132,2.67
292,5.998,3.452,4.826,2.598
293,5.83,2.99,4.978,2.366
294,6.424,3.63,4.908,2.398
295,4.714,2.846,3.742,2.022
296,6.232,3.5,5.002,2.608
297,6.446,3.728,5.05,2.552
298,2.996,1.976,2.462,1.342
299,3.826,2.436,3.406,1.824
300,2.49,1.408,1.97,1.018
301,4.36,2.718,3.686,1.794
302,4.454,2.882,3.794,1.812
303,4.752,2.97,3.922,1.878
304,5.112,3.046,4.38,2.096
305,5.5,3.302,4.648,2.132
306,5.074,2.89,4.058,1.954
307,4.796,2.82,4.248,1.952
308,5.122,3.282,4.478,2.27
309,4.956,3.048,4.152,2.188
310,3.778,2.364,3.048,1.546
311,0.344,0.24,0.286,0.162
312,4.012,2.554,3.562,1.698
313,3.862,2.4,3.2,1.81
314,2.94,1.902,2.174,1.368
315,4.836,2.97,3.946,1.938
316,4.916,3.13,4.248,2.172
317,5.12,3.278,4.37,2.138
318,4.902,2.902,4.22,2.08
319,4.656,2.974,3.69,1.96
320,3.574,2.056,2.682,1.554
321,3.294,1.956,2.51,1.416
322,4.462,2.77,3.6,1.676
323,4.452,2.688,3.702,1.642
324,3.572,2.14,2.84,1.51
325,3.77,2.26,3.058,1.514
326,3.752,2.17,3.04,1.462
327,1.44,0.702,1.012,0.57
328,2.636,1.4,1.922,0.936
329,4.074,2.472,2.99,1.398
330,3.648,2.218,2.886,1.464
331,3.918,2.304,2.916,1.486
332,3.72,2.21,2.878,1.444
333,3.522,2.206,2.878,1.47
334,2.986,1.746,2.424,1.366
335,2.892,1.612,2.164,1.138
336,1.4,0.682,1.112,0.438
337,2.548,1.52,2.134,1.08
338,3.132,1.878,2.342,1.174
339,2.986,1.81,2.408,1.192
340,1.988,1.188,1.522,0.828
341,1.306,0.83,0.862,0.538
342,1.252,0.698,0.818,0.51
343,2.194,1.364,1.75,0.862
344,2.564,1.522,2.186,1.024
345,2.372,1.482,2.018,0.892
346,1.508,0.964,1.28,0.666
347,1.826,1.176,1.648,0.792
348,1.562,1.108,1.136,0.672
349,1.286,0.942,1.082,0.604
350,2.158,1.324,1.978,0.872
351,2.522,1.62,2.156,0.91
352,2.65,1.634,2.342,1.0
353,2.64,1.744,2.458,1.058
354,2.648,1.674,2.472,1.094
355,1.958,1.312,1.516,0.952
356,1.6,1.09,1.198,0.74
357,1.872,1.068,1.752,0.86
358,1.502,0.93,1.162,0.708
359,2.162,1.274,1.766,0.894
360,1.406,0.768,1.12,0.64
361,1.158,0.712,1.124,0.526
362,0.956,0.59,0.726,0.462
363,0.998,0.56,0.746,0.46
364,1.394,0.828,1.206,0.604
365,1.108,0.618,0.744,0.47
366,1.678,1.066,1.514,0.696
367,1.906,1.232,1.78,0.762
368,2.194,1.202,1.862,0.848
369,1.598,0.912,1.094,0.748
370,1.398,0.87,1.018,0.604
371,2.018,1.164,1.716,0.806
372,1.944,1.07,1.68,0.816
373,1.944,1.062,1.666,0.792
374,2.138,1.22,1.87,0.892
375,2.396,1.356,2.064,1.018
376,1.908,1.054,1.268,0.798
377,1.576,0.862,1.034,0.69
378,1.874,1.064,1.616,0.668
379,1.798,1.046,1.566,0.67
380,2.006,1.068,1.614,0.752
381,2.214,1.244,1.9,0.894
382,2.266,1.36,1.91,0.864
383,1.924,1.016,1.326,0.782
384,1.486,0.818,0.932,0.678
385,1.972,1.28,1.75,0.766
386,2.326,1.408,2.064,0.94
387,2.314,1.244,2.022,0.842
388,2.242,1.394,2.146,0.96
389,2.224,1.29,1.804,0.854
390,1.646,0.974,1.278,0.768
391,1.564,0.956,1.152,0.58
392,1.966,1.22,1.814,0.808
393,2.248,1.484,2.036,0.932
394,2.534,1.402,2.118,1.052
395,2.028,1.332,1.878,0.844
396,2.162,1.214,1.764,0.854
397,1.66,0.966,1.324,0.736
398,0.254,0.182,0.188,0.13
399,0.95,0.646,0.774,0.602
400,1.058,0.602,0.976,0.564
401,1.606,0.854,1.252,0.766
402,1.768,0.944,1.468,0.726
403,1.808,0.988,1.462,0.742
404,1.518,0.862,1.17,0.72
405,1.172,0.712,0.798,0.556
406,2.042,1.202,1.624,0.774
407,2.286,1.32,1.87,0.884
408,2.226,1.302,1.994,0.858
409,2.292,1.268,2.012,0.804
410,1.134,0.664,1.12,0.456
411,1.596,0.994,1.228,0.706
412,1.742,0.914,1.438,0.75
413,2.304,1.478,2.086,0.868
414,1.398,0.918,1.098,0.578
415,2.302,1.45,2.014,0.968
416,2.736,1.52,2.218,1.022
417,2.61,1.468,2.26,1.014
418,3.04,1.672,2.418,1.104
419,3.004,1.418,2.23,1.048
420,2.842,1.648,2.36,1.106
421,3.36,1.896,2.978,1.304
422,3.522,2.004,2.962,1.404
423,3.254,1.888,2.682,1.388
424,2.734,1.512,2.108,1.142
425,3.07,1.648,2.22,1.162
426,3.214,1.666,2.32,1.294
427,3.62,2.096,2.592,1.404
428,3.236,1.9,2.552,1.184
429,3.29,2.092,2.566,1.286
430,4.146,2.246,3.248,1.594
431,4.034,2.206,3.506,1.6
432,4.272,2.164,3.21,1.518
433,4.158,1.888,3.21,1.534
434,3.746,2.256,3.156,1.544
435,3.126,1.898,2.646,1.192
436,3.688,2.04,2.972,1.328
437,4.138,2.24,3.17,1.492
438,2.772,1.568,1.998,0.988
439,3.336,1.872,2.676,1.336
440,4.762,2.314,4.06,1.73
441,4.776,2.686,3.698,1.656
442,5.388,3.138,4.016,1.898
443,2.252,1.24,1.57,0.878
444,3.456,1.944,2.718,1.136
445,4.06,2.498,3.156,1.594
446,2.664,1.632,2.11,1.138
447,4.184,2.072,3.1,1.456
448,4.564,2.55,3.426,1.522
449,5.606,3.016,4.2,1.972
450,4.836,2.692,3.518,1.744
451,5.4,2.948,3.654,1.862
452,5.732,2.966,4.564,2.1
453,1.512,0.9,1.23,0.634
454,2.91,1.54,2.008,1.012
455,5.068,2.754,3.784,1.738
456,5.508,2.894,4.188,1.892
457,5.532,2.932,4.316,2.064
458,6.162,3.18,4.572,2.162
459,6.054,2.996,4.592,1.878
460,3.398,1.726,2.404,1.144
461,7.436,3.206,6.056,2.452
462,6.604,3.686,5.156,2.308
463,3.432,1.85,2.348,1.126
464,3.288,1.894,2.71,1.178
465,6.5,3.45,5.056,2.254
466,6.86,3.768,5.236,2.472
467,7.658,3.464,5.676,2.498
468,3.6,1.942,2.584,1.426
469,7.194,3.79,5.432,2.376
470,8.132,4.214,5.966,2.732
471,8.584,4.154,6.174,2.832
472,6.822,3.58,4.778,2.448
473,8.114,4.242,5.918,2.9
474,7.328,3.438,5.716,2.41
475,7.488,3.328,5.672,2.5
476,8.876,4.284,6.398,2.932
477,7.938,4.14,5.564,2.82
478,7.592,3.92,5.538,2.582
479,2.936,1.724,2.12,1.274
480,3.89,1.992,2.822,1.51
481,8.616,3.9,6.94,2.982
482,7.274,3.332,5.736,2.508
483,8.058,4.592,6.326,2.858
484,9.696,4.81,6.91,3.086
485,11.226,5.236,7.792,3.538
486,9.996,4.912,7.23,3.33
487,9.908,4.876,7.548,3.286
488,10.364,4.258,7.064,3.048
489,9.478,4.116,7.332,3.198
490,10.81,4.368,8.524,3.546
491,9.67,5.046,7.04,3.418
492,9.27,5.196,7.104,3.37
493,10.394,5.116,7.352,3.33
494,10.058,5.334,7.538,3.808
495,10.67,4.824,8.206,3.862
496,10.566,4.548,7.78,3.46
497,9.24,5.056,6.59,3.352
498,10.574,5.802,7.7,4.062
499,9.48,5.646,7.184,3.808
500,9.854,5.444,7.592,3.772
501,10.404,5.708,7.908,4.104
502,10.45,5.176,7.858,4.012
503,1.724,0.814,0.976,0.744
504,8.862,5.22,7.002,3.368
505,9.952,5.832,7.636,4.064
506,10.63,5.806,7.682,4.052
507,10.08,5.674,7.546,3.932
508,9.296,5.514,7.23,4.086
509,9.924,4.802,6.99,4.45
510,10.04,4.718,7.25,3.866
511,3.9,2.08,2.768,1.4
512,9.902,5.956,8.07,4.222
513,10.508,5.828,8.196,4.286
514,9.138,5.272,7.088,3.736
515,10.428,5.874,7.472,4.296
516,10.724,5.204,7.186,4.052
517,10.444,4.968,7.396,3.704
518,10.89,6.05,7.546,4.224
519,10.742,6.24,8.22,4.304
520,10.01,5.802,7.554,4.34
521,4.72,2.736,3.414,2.248
522,6.572,3.578,5.12,2.494
523,11.138,5.308,7.432,4.278
524,7.784,4.28,5.562,3.142
525,8.156,4.62,5.79,3.114
526,10.548,6.126,7.79,4.316
527,10.234,6.28,7.108,4.454
528,11.054,6.138,7.05,4.216
529,10.896,5.974,7.398,4.544
530,9.234,4.844,6.004,3.752
531,10.998,5.32,8.04,3.946
532,10.674,6.242,8.134,4.288
533,5.768,3.134,4.318,1.762
534,10.262,5.574,7.01,3.714
535,11.632,6.154,8.36,4.388
536,10.236,5.616,7.812,3.978
537,11.234,5.602,8.27,4.31
538,10.24,4.886,7.744,3.866
539,10.468,6.17,8.586,4.568
540,10.684,6.514,8.292,4.444
541,10.132,5.772,7.692,4.466
542,9.886,5.8,7.67,3.924
543,9.216,5.52,7.436,3.832
544,8.404,4.202,6.298,3.734
545,9.952,5.112,7.236,4.164
546,11.342,6.796,8.638,4.88
547,11.616,6.758,8.866,5.016
548,11.986,6.71,8.916,4.834
549,11.492,6.594,8.714,4.946
550,10.114,5.834,7.724,4.274
551,9.422,4.916,6.438,4.014
552,9.678,5.204,6.894,4.172
553,11.57,6.652,8.704,4.658
554,11.572,6.834,9.302,4.808
555,5.312,3.514,3.956,2.214
556,7.154,4.404,6.206,2.986
557,11.52,6.5,8.598,4.758
558,10.212,5.35,7.214,4.244
559,9.814,5.004,6.726,3.626
560,6.464,4.35,5.644,3.13
561,9.084,5.854,7.73,3.912
562,9.25,5.916,7.736,4.332
563,9.444,5.98,7.212,4.112
564,9.274,5.758,7.348,4.042
565,7.216,3.774,4.784,3.352
566,5.762,3.09,4.486,2.448
567,9.81,6.072,7.726,4.082
568,9.806,5.868,7.672,4.364
569,7.898,4.574,5.412,3.254
570,4.474,2.776,3.498,1.858
571,3.004,1.73,2.084,1.24
572,5.786,3.576,4.588,2.416
573,2.95,1.758,2.212,1.324
574,8.408,5.074,7.144,3.556
575,8.772,5.2,6.88,3.614
576,3.44,1.722,2.14,1.19
577,7.264,3.95,5.724,2.984
578,7.918,4.658,6.302,3.484
579,6.532,3.774,5.07,2.694
580,6.078,2.848,3.992,2.26
581,8.208,4.566,6.098,3.506
582,8.096,4.742,5.812,3.506
583,6.086,3.424,4.27,2.706
584,8.576,4.676,6.316,3.59
585,7.796,4.674,6.282,3.61
586,6.878,3.876,5.0,2.96
587,6.282,3.008,4.124,2.522
588,3.108,1.796,2.146,1.266
589,7.924,4.454,6.136,3.302
590,8.56,4.642,6.15,3.456
591,3.484,2.248,2.484,1.676
592,9.048,4.804,6.726,3.516
593,9.644,4.908,6.796,3.898
594,9.75,4.704,6.982,3.99
595,10.34,5.65,8.076,4.266
596,10.72,5.852,7.736,4.312
597,6.704,3.852,4.668,2.966
598,10.754,5.854,7.63,4.348
599,11.324,5.952,8.134,4.394
600,11.938,5.51,8.18,4.638
601,10.942,4.906,7.976,4.052
602,11.198,6.078,8.438,4.342
603,10.328,5.84,7.854,4.266
604,10.488,6.612,8.132,4.9
605,7.0,4.75,5.982,3.69
606,9.764,5.428,7.866,3.97
607,12.842,6.188,8.534,4.756
608,12.422,5.768,8.542,4.468
609,12.154,6.862,9.112,4.734
610,9.558,6.06,7.336,3.664
611,3.848,2.038,2.518,1.702
612,4.036,2.484,3.06,1.864
613,2.02,1.396,1.504,1.024
614,0.0,0.0,0.0,0.0
615,5.83,2.658,4.188,2.482
616,8.448,4.792,6.302,3.222
617,2.808,1.486,1.804,0.822
618,9.79,5.258,7.222,3.682
619,4.568,2.412,3.164,2.106
620,7.716,3.314,5.386,3.272
621,6.166,3.228,4.388,3.23
622,10.864,5.032,8.43,4.17
623,12.074,6.644,9.084,4.9
624,11.324,7.03,8.9,5.068
625,11.946,6.798,8.752,5.162
626,12.352,6.506,8.726,5.042
627,12.08,6.522,8.506,5.042
628,11.564,6.302,8.044,4.812
629,4.53,3.168,3.228,2.444
630,10.918,6.586,8.248,4.862
631,11.058,6.68,8.408,5.174
632,11.736,6.6,8.462,5.024
633,11.098,6.618,8.126,4.974
634,11.208,6.864,8.438,4.954
635,11.724,6.076,8.196,5.002
636,12.014,5.482,7.898,4.612
637,11.436,6.452,8.252,4.918
638,11.316,6.492,8.152,5.114
639,3.418,2.118,2.452,1.596
640,9.416,4.514,7.55,3.478
641,11.582,6.402,8.858,5.004
642,10.398,5.252,6.89,4.42
643,10.49,5.206,7.736,4.688
644,2.7,1.686,1.804,1.296
645,9.642,5.932,7.618,4.498
646,10.722,5.396,7.958,4.314
647,9.974,5.662,7.562,4.42
648,11.334,6.38,8.172,4.78
649,10.616,5.388,7.704,4.546
650,10.884,5.482,8.136,4.212
651,9.502,5.508,7.538,4.244
652,10.518,5.986,8.214,4.668
653,10.29,6.128,7.87,4.498
654,10.51,6.124,8.196,4.508
655,10.792,6.128,8.398,4.61
656,11.246,5.582,8.486,4.566
657,10.808,5.062,7.972,4.296
658,10.612,6.042,7.96,4.468
659,10.44,6.622,8.442,4.96
660,10.74,6.594,8.068,4.81
661,10.364,6.692,8.566,4.948
662,9.242,6.33,8.072,4.394
663,9.078,4.756,6.358,3.802
664,8.546,4.236,6.232,3.456
665,7.69,5.038,6.514,3.362
666,7.686,5.442,6.554,3.774
667,9.386,5.772,6.898,4.206
668,9.108,5.642,7.29,4.056
669,8.906,5.826,6.92,4.194
670,8.278,4.824,6.15,3.776
671,8.296,4.464,6.652,3.838
672,9.494,5.61,7.57,4.138
673,9.516,5.706,7.382,4.07
674,9.138,5.556,6.932,4.01
675,8.274,4.994,6.49,3.822
676,7.844,4.62,5.946,3.544
677,7.838,4.218,6.026,3.31
678,5.19,2.932,3.942,2.266
679,7.212,4.284,5.81,2.926
680,8.356,5.112,6.442,3.492
681,4.73,3.096,3.686,2.1
682,5.404,3.304,4.33,2.286
683,1.878,1.216,1.52,0.784
684,5.904,3.23,4.096,2.442
685,1.51,0.756,0.974,0.69
686,4.72,2.976,3.638,2.026
687,5.166,3.16,3.664,2.036
688,5.362,3.216,3.96,2.146
689,5.822,3.528,4.562,2.38
690,6.732,3.984,5.478,2.788
691,7.168,3.744,5.036,2.714
692,3.282,1.898,2.202,1.448
693,5.262,3.436,4.238,2.152
694,6.276,4.072,4.93,2.522
695,5.548,3.588,4.378,2.464
696,5.632,3.518,4.572,2.464
697,5.492,3.25,4.314,2.296
698,4.884,2.766,3.466,2.082
699,1.284,0.702,0.794,0.584
700,4.076,2.604,3.278,1.83
701,4.172,2.51,3.264,1.774
702,4.962,2.854,3.668,1.964
703,3.662,2.202,2.92,1.458
704,3.38,1.972,2.698,1.306
705,2.814,1.796,2.06,1.222
706,3.012,1.67,1.924,1.208
707,4.18,2.794,3.266,1.688
708,4.254,2.7,3.43,1.75
709,4.222,2.684,3.422,1.774
710,4.024,2.664,3.456,1.776
711,3.982,2.542,3.482,1.72
712,3.35,2.17,2.542,1.492
713,4.044,2.17,2.642,1.514
714,4.85,3.238,4.132,2.046
715,3.256,1.966,2.408,1.304
716,4.364,2.696,3.514,1.894
717,4.16,2.634,3.404,1.692
718,3.944,2.51,3.274,1.728
719,2.654,1.528,1.792,1.16
720,3.184,1.888,2.236,1.37
721,3.486,2.086,2.91,1.35
722,3.836,2.512,3.392,1.734
723,3.008,1.66,2.052,1.27
724,2.94,1.92,2.366,1.258
725,3.378,2.136,2.678,1.466
726,3.226,1.958,2.168,1.522
727,2.568,1.498,1.63,1.104
728,2.734,1.708,2.312,1.15
729,2.162,1.446,1.91,1.006
730,1.796,1.244,1.432,1.008
731,3.252,2.07,2.754,1.422
732,3.548,2.278,3.016,1.634
733,3.268,2.024,2.166,1.392
734,3.026,1.692,1.934,1.36
735,1.934,1.264,1.46,0.766
736,0.232,0.144,0.222,0.104
737,2.43,1.568,2.216,1.096
738,3.382,2.068,2.718,1.506
739,3.584,2.108,2.862,1.438
740,2.83,1.758,1.964,1.322
741,2.48,1.48,1.732,1.148
742,3.096,1.96,2.492,1.274
743,3.336,2.076,2.824,1.34
744,3.438,2.066,2.714,1.332
745,3.444,2.076,2.896,1.282
746,3.496,2.068,2.87,1.372
747,3.044,1.784,2.292,1.35
748,2.184,1.3,1.654,0.944
749,3.156,2.142,2.852,1.394
750,3.42,2.288,2.996,1.62
751,3.78,2.424,3.074,1.626
752,3.998,2.424,3.172,1.8
753,2.388,1.392,1.864,1.288
754,1.936,1.168,1.362,0.954
755,2.83,1.442,2.202,1.22
756,1.984,1.24,1.42,1.016
757,3.61,2.424,3.022,1.678
758,4.224,2.752,3.474,1.936
759,4.364,2.758,3.672,2.064
760,4.118,2.576,3.468,1.824
761,3.236,2.158,2.398,1.574
762,2.868,1.794,1.994,1.148
763,3.4,2.112,2.962,1.484
764,2.76,1.772,2.416,1.066
765,2.652,1.548,2.12,0.972
766,2.838,1.734,2.284,1.012
767,3.128,2.094,2.622,1.362
768,2.704,1.858,2.048,1.252
769,2.606,1.64,1.892,1.078
770,3.906,2.54,3.406,1.568
771,4.614,3.094,4.108,1.982
772,1.238,0.752,1.204,0.576
773,3.71,2.69,3.394,1.764
774,4.814,3.004,3.986,2.126
