,ANONYMOUS_1,YEAR,ANONYMOUS_2,AG,CO,CR,CU,FE,H2O,MN,MO,NI,PQINDEX,TI,V,V40,ZN,Y_LABEL
13780,3895,2015,200,0,0,0,3,34,0.0,1,51,0,19,0,0,76.6,1177,0
11419,2406,2009,200,0,0,0,65,12,0.0,0,24,0,14,0,0,70.6,1190,0
5255,1912,2018,200,0,0,0,5,13,0.0,0,106,0,20,0,0,70.8,1025,0
985,2099,2014,200,0,0,0,69,12,0.0,3,46,0,12,0,0,72.0,1006,0
14042,1690,2009,200,0,0,0,249,16,0.0,0,141,0,10,0,0,83.0,1081,0
13791,1599,2018,200,0,0,0,0,4,0.0,0,3,0,5,0,0,111.9,1054,0
6047,1683,2010,200,0,0,0,736,28,0.0,0,2,0,23,0,0,66.7,1316,0
5497,4144,2021,549,0,0,0,2,11,0.0,0,0,0,10,0,0,72.2,1050,0
499,4476,2019,994,0,0,0,9,12,0.0,0,3,0,8,0,0,70.0,966,0
2457,2512,2017,200,0,0,0,0,8,0.0,0,23,0,6,0,0,72.4,1135,0
10397,2753,2016,200,0,0,0,0,7,0.0,0,11,0,17,0,0,74.2,1289,0
1084,2808,2009,200,0,0,1,346,21,0.0,0,1,0,19,0,0,64.2,1126,0
8604,2052,2008,550,0,0,0,378,24,0.0,0,95,0,18,0,0,73.4,1304,0
10042,2498,2018,1600,0,0,0,2,18,0.0,0,22,0,23,0,0,63.9,1344,0
7758,4381,2019,704,0,0,0,352,50,0.0,0,37,0,7,0,0,70.4,1111,0
9906,3238,2021,688,0,0,0,4,15,0.0,0,9,0,55,0,0,70.6,1141,0
13788,1517,2013,200,0,0,0,2,20,0.0,0,0,0,14,0,0,67.0,1203,0
11825,2406,2008,550,1,0,0,444,11,0.0,0,168,0,18,0,0,84.2,1267,0
206,2088,2013,200,0,0,0,298,22,0.0,2,168,0,7,0,0,82.2,1388,0
4135,9104,2017,200,0,0,0,0,8,0.0,0,5,0,13,0,0,71.1,1112,0
5466,3004,2015,200,0,0,0,6,50,0.0,0,0,0,22,0,0,37.6,22,0
8672,1364,2008,375,0,0,0,559,18,0.0,0,11,0,8,0,0,63.1,1233,0
861,2075,2013,200,0,0,0,1,10,0.0,0,97,0,13,0,0,81.9,1170,0
10005,2567,2014,200,0,0,0,4,42,0.0,1,40,0,18,0,0,69.1,1085,0
10077,2696,2013,200,0,0,0,0,15,0.0,0,0,0,24,0,0,81.0,1400,0
10763,4029,2020,200,0,0,0,5,26,0.0,0,0,0,12,0,0,54.0,1023,1
6790,2724,2014,200,0,0,0,8,51,0.0,0,39,0,47,0,0,67.9,982,0
10597,1679,2019,200,0,0,0,5,17,0.0,5,4,0,15,0,0,64.8,930,0
9619,3445,2010,200,0,0,0,100,27,0.0,0,2,0,5,0,0,62.0,1085,0
3068,4359,2019,200,0,0,0,167,31,0.0,0,0,0,25,0,0,72.8,1004,0
5681,1372,2007,572,0,0,0,603,33,0.0,1,169,0,18,0,0,70.8,1337,0
12504,1308,2015,200,0,0,0,0,9,0.0,0,67,0,9,0,0,77.3,1185,0
9852,1541,2013,200,0,0,0,0,10,0.0,0,78,0,9,0,0,76.0,1113,0
10640,4014,2022,438,0,0,0,0,5,0.0,0,0,0,6,0,0,78.3,999,0
6917,3859,2018,200,0,0,0,1,17,0.0,0,215,0,20,0,0,76.2,1256,0
6433,3473,2014,200,0,0,0,5,28,0.0,1,2,0,22,0,0,65.0,1220,0
2216,3285,2008,1075,0,0,1,468,19,0.0,1,1,0,18,0,0,59.2,1102,0
232,1401,2010,456,0,0,0,526,24,0.0,0,77,0,13,0,0,78.7,953,0
12629,1308,2015,200,0,0,0,6,13,0.0,2,2,0,13,0,0,60.5,1171,0
8968,1702,2013,200,0,0,0,108,9,0.0,0,4,0,10,0,0,72.2,1587,0
1224,1758,2016,200,0,0,0,0,9,0.0,0,48,0,5,0,0,73.3,1148,0
10939,4240,2013,200,0,0,0,15,6,0.0,0,4,0,13,0,0,71.3,1241,1
1481,5540,2021,200,0,0,0,0,11,0.0,0,2,2,15,0,0,71.6,899,0
7100,1597,2014,200,0,0,0,7,15,0.0,2,31,0,26,0,0,66.5,1072,0
4967,1758,2007,550,0,0,0,177,13,0.0,0,1,0,18,0,0,62.7,1279,0
4914,1478,2015,200,0,0,0,5,24,0.0,0,131,0,31,0,0,70.0,1283,0
6479,5338,2021,200,0,0,0,0,9,0.0,0,0,1,8,0,0,76.3,823,1
12944,4486,2014,200,0,0,0,1,19,0.0,0,8,0,18,0,0,79.0,1484,0
3675,2581,2014,200,0,0,0,199,9,0.0,0,231,0,3,0,0,93.9,1347,0
7162,1721,2008,550,0,0,1,346,19,0.0,0,15,0,41,0,0,67.5,1271,0
1359,1193,2009,393,0,0,0,403,20,0.0,0,97,0,18,0,0,71.6,1020,0
12279,2339,2013,200,0,0,0,0,23,0.0,0,3,0,15,0,0,73.6,1279,0
1976,4441,2014,200,0,0,0,0,21,0.0,0,43,0,9,0,0,76.2,1376,0
8054,1683,2018,200,0,0,1,331,14,0.0,1,140,0,13,0,0,71.2,1286,0
9532,9101,2011,200,0,0,0,296,15,0.0,1,17,1,26,0,0,58.5,987,0
14060,7613,2017,6850,0,0,0,0,11,0.0,0,16,0,13,0,0,70.4,1066,0
1947,2923,2019,200,0,0,0,1,11,0.0,0,1,0,12,0,0,69.7,1066,0
4918,1405,2015,605,0,0,0,0,15,0.0,0,135,0,28,0,0,77.6,1099,0
4180,3238,2021,1038,0,0,0,0,57,0.0,1,2,0,26,0,0,69.6,1027,0
7683,1697,2014,200,0,0,1,28,15,0.0,2,2,0,9,0,0,68.1,970,1
5384,7440,2010,200,0,0,0,40,54,0.0,20,0,0,7,0,0,44.8,1361,0
7709,3494,2009,200,0,0,0,90,16,0.0,0,151,0,14,0,0,79.2,1483,0
2917,1352,2007,552,0,0,0,393,10,0.0,0,2,0,9,0,0,71.1,1028,0
11029,1171,2015,200,0,0,0,8,33,0.0,2,60,0,28,0,0,60.8,1074,0
5934,1520,2012,200,0,0,0,98,19,0.0,0,2,0,16,0,0,65.4,1162,0
9293,1721,2008,921,0,0,0,157,18,0.0,1,1,0,18,0,0,56.4,1019,0
5811,2785,2014,200,0,0,0,130,22,0.0,4,3,0,27,0,0,62.7,1073,0
2121,2619,2019,578,0,1,1,7,22,0.0,0,0,0,73,0,0,36.1,25,0
5612,2406,2008,1600,1,0,0,381,17,0.0,0,0,0,19,0,0,75.5,1249,0
211,1156,2010,356,0,0,0,402,18,0.0,0,48,0,9,0,0,72.6,1104,0
3094,2006,2013,200,0,0,0,0,7,0.0,0,5,0,7,0,0,70.2,1116,1
11732,2481,2013,200,0,0,0,4,23,0.0,2,137,0,14,0,0,72.0,1192,0
1416,2050,2017,200,0,0,0,4,10,0.0,0,3,0,28,0,0,71.1,1156,1
10381,2785,2014,200,0,0,0,6,17,0.0,4,10,0,11,0,0,66.7,912,0
10354,2181,2016,200,0,0,0,2,20,0.0,0,22,0,25,0,0,61.8,1089,0
2059,2190,2015,200,0,0,0,0,17,0.0,0,280,0,25,0,0,81.2,1444,0
10836,1382,2019,200,0,0,0,2,15,0.0,0,240,0,21,0,0,83.0,1316,0
6501,3607,2016,200,0,0,0,6,20,0.0,1,0,0,20,0,0,56.7,1132,0
13516,2143,2019,200,0,0,0,8,23,0.0,2,118,0,24,0,0,73.0,1094,0
1771,7367,2014,200,0,0,0,0,15,0.0,0,42,0,24,0,0,76.6,1282,0
9983,1743,2008,550,0,0,0,410,16,0.0,1,10,0,10,0,0,66.0,1061,0
4281,1415,2012,615,0,0,0,759,25,0.0,0,128,0,24,0,0,69.2,1248,0
4723,1441,2012,641,0,0,0,22,28,0.0,25,0,0,23,0,0,59.5,1409,0
6537,1753,2013,200,0,0,0,1,12,0.0,0,3,0,9,0,0,72.0,1274,0
12194,5275,2021,853,0,0,0,3,10,0.0,0,0,0,11,0,0,69.6,997,0
9376,4015,2014,200,0,0,0,329,22,0.0,0,14,0,21,0,0,69.3,990,0
8936,1704,2012,200,0,0,0,80,13,0.0,5,3,0,10,0,0,68.5,1132,0
13389,1504,2009,550,0,0,0,141,6,0.0,0,8,0,3,0,0,73.4,1317,0
11059,8004,2021,373,0,0,0,2,11,0.0,0,4,0,23,0,0,70.8,819,0
12508,2613,2015,200,0,0,0,1,18,0.0,0,254,0,20,0,0,80.9,1420,0
7910,4453,2016,3653,0,0,0,10,20,0.0,0,264,0,23,0,0,82.4,1378,0
11812,1651,2008,200,0,0,0,327,13,0.0,0,25,0,18,0,0,79.1,1272,1
5866,10182,2015,200,0,0,0,0,9,0.0,0,1,0,22,0,0,94.4,1238,0
3623,1172,2011,200,0,0,0,264,18,0.0,0,154,0,7,0,0,80.6,998,0
10679,1000,2014,200,0,0,0,9,36,0.0,1,70,0,34,0,0,73.0,1159,0
10475,4501,2018,200,0,0,0,1,12,0.0,0,0,0,5,0,0,71.1,1133,0
9016,1152,2013,200,0,0,0,0,18,0.0,0,10,0,11,0,0,78.7,1385,0
4712,6639,2019,913,0,0,0,7,45,0.0,0,0,0,17,0,0,35.6,16,0
2615,1357,2008,557,0,0,0,56,12,0.0,0,38,0,8,0,0,72.3,1157,0
12093,2368,2007,200,0,0,0,563,28,0.0,1,2,0,21,0,0,67.8,1145,0
5077,2387,2020,482,0,0,0,9,54,0.0,0,0,0,19,0,0,36.2,20,0
4322,1382,2019,200,0,0,0,1,20,0.0,1,227,0,4,0,0,76.6,1361,0
4479,1352,2008,552,0,0,0,163,26,0.0,1,0,0,85,0,0,58.1,967,0
2102,3422,2016,200,0,0,0,4,9,0.0,0,2,0,5,0,0,69.9,1027,0
11915,1655,2017,900,0,0,0,2,14,0.0,0,2,0,19,0,0,68.3,1092,0
7423,1737,2018,200,0,0,1,4,32,0.0,0,0,0,44,0,0,37.3,19,0
12853,7613,2017,6850,0,0,0,3,21,0.0,0,259,0,6,0,0,79.4,1488,0
4503,2799,2019,1593,0,0,0,19,16,0.0,0,11,0,17,0,0,70.7,1247,0
11821,3807,2010,200,0,0,0,237,21,0.0,0,95,0,13,0,0,69.4,957,0
5302,3124,2009,200,0,0,0,147,18,0.0,1,1,0,23,0,0,57.9,1052,0
11646,1695,2017,900,0,0,0,1,12,0.0,0,0,0,5,0,0,70.5,1066,0
8762,1366,2014,566,0,0,0,2,12,0.0,0,67,0,5,0,0,82.9,1176,0
7199,3450,2009,200,0,0,0,302,24,0.0,0,4,0,11,0,0,55.5,938,0
10561,3270,2009,200,0,0,0,43,8,0.0,0,1,0,25,0,0,71.0,1219,0
4299,1504,2009,900,0,0,0,38,4,0.0,0,0,0,16,0,0,74.4,1181,0
2088,1730,2008,200,0,0,0,359,12,0.0,0,4,0,12,0,0,70.0,1219,1
4701,2052,2008,550,0,0,0,486,17,0.0,0,111,0,23,0,0,79.8,1251,0
1371,6539,2019,200,0,0,0,1,31,0.0,0,11,0,18,0,0,75.6,1377,1
7661,1334,2008,534,0,0,1,305,19,0.0,1,22,0,9,0,0,68.1,1311,0
7789,2714,2016,200,1,0,0,2,18,0.0,0,127,0,14,0,0,68.3,1349,0
13208,1958,2008,200,0,0,0,117,14,0.0,1,3,0,14,0,0,60.2,1060,1
10107,2901,2022,391,0,0,0,0,7,0.0,0,23,0,11,0,0,76.2,1031,0
12463,1555,2008,755,0,0,0,161,21,0.0,1,1,0,15,0,0,57.3,1092,0
5799,1527,2013,368,0,0,0,3,15,0.0,3,3,0,28,0,0,61.2,619,0
2713,2222,2020,318,0,0,0,6,26,0.0,0,0,0,33,0,0,36.3,17,0
7614,1343,2011,200,0,0,0,2,16,0.0,1,172,0,17,0,0,77.6,1313,0
13084,6321,2014,200,0,0,0,0,24,0.0,0,95,0,25,0,0,79.4,1535,0
11332,5550,2015,200,0,0,0,24,37,0.0,12,0,0,20,0,0,68.2,1410,0
7430,1385,2016,200,0,0,0,2,16,0.0,0,40,0,529,0,0,79.5,1047,0
10992,7050,2017,200,0,0,0,7,20,0.0,1,0,0,14,0,0,58.5,1113,0
6436,3855,2015,200,0,0,0,97,15,0.0,4,30,0,24,0,0,71.1,1008,0
2254,1357,2012,200,0,0,0,2,12,0.0,1,204,0,7,0,0,81.2,1273,0
8307,2190,2015,200,0,0,0,0,25,0.0,0,259,0,23,0,0,80.3,1365,0
2935,5965,2011,620,0,0,0,302,15,0.0,0,0,0,5,0,0,72.6,1114,0
10103,1721,2008,921,0,0,0,158,17,0.0,1,22,0,21,0,0,72.6,1106,0
1708,4243,2014,200,0,0,0,1,6,0.0,0,0,0,10,0,0,72.4,788,0
13551,2401,2020,1601,0,0,0,0,9,0.0,0,0,0,18,0,0,78.8,1007,0
10641,2006,2013,200,0,0,0,0,11,0.0,0,245,0,19,0,0,82.2,1220,0
2635,3095,2013,200,0,0,0,336,16,0.0,0,96,0,10,0,0,76.0,1378,0
882,1441,2021,200,0,0,0,3,7,0.0,0,0,0,13,0,0,71.4,773,0
9723,1496,2009,696,0,0,0,498,25,0.0,1,120,0,30,0,0,69.5,1156,0
2208,3875,2015,200,0,0,0,4,17,0.0,0,5,0,15,0,0,62.5,1150,0
9617,2220,2008,200,0,0,0,222,16,0.0,0,0,0,23,0,0,64.8,1111,0
2817,4339,2014,200,0,0,0,47,55,0.0,23,0,1,52,0,0,50.8,1293,0
11790,3772,2018,200,0,0,0,0,9,0.0,0,43,0,10,0,0,80.5,1125,0
6761,7125,2017,746,0,0,0,2,19,0.0,0,184,0,23,0,0,72.9,1245,0
4539,1186,2007,386,0,0,0,95,13,0.0,0,1,0,20,0,0,66.9,1127,0
4550,3055,2019,200,0,0,0,3,68,0.0,0,0,0,20,0,0,38.6,23,0
9763,3405,2015,200,0,0,0,8,45,0.0,0,59,0,26,0,0,72.7,1110,0
1979,1430,2014,200,0,0,0,1,30,0.0,0,243,0,25,0,0,80.0,1440,0
4046,3200,2021,874,0,0,0,3,20,0.0,0,9,0,11,0,0,64.7,1111,0
2946,4637,2018,200,0,0,0,0,11,0.0,0,2,0,12,0,0,70.4,1015,0
3038,1357,2013,200,0,0,0,3,38,0.0,0,24,0,20,0,0,62.4,1128,0
9387,3270,2008,200,0,0,0,218,10,0.0,1,1,0,14,0,0,57.2,964,0
12850,1331,2017,531,0,0,0,1,12,0.0,0,0,0,26,0,0,73.0,1104,0
1558,2276,2011,200,0,0,0,199,16,0.0,0,0,0,10,0,0,69.8,1103,0
9878,3387,2020,448,0,0,0,16,166,0.0,2,0,0,63,0,0,38.1,47,0
13656,2295,2022,643,0,0,0,1,11,0.0,0,10,0,8,0,0,68.0,845,0
12920,1674,2015,200,0,0,0,0,12,0.0,0,286,0,10,0,0,85.6,1442,0
1128,1415,2018,200,0,0,0,1,11,0.0,0,0,0,5,0,0,72.1,1209,0
2811,1915,2021,200,0,0,0,0,13,0.0,0,0,0,9,0,0,68.6,1125,0
9787,1368,2017,550,0,0,0,2,15,0.0,0,18,0,20,0,0,64.1,1255,0
6791,2571,2017,371,0,0,0,50,36,0.0,1,1,0,34,0,0,108.6,971,0
9045,3390,2013,200,0,0,0,541,35,0.0,0,100,0,16,0,0,75.4,1208,0
11835,4476,2019,994,0,0,0,2,32,0.0,0,173,0,20,0,0,72.6,1252,0
4653,1000,2014,200,0,0,0,5,26,0.0,1,126,0,20,0,0,64.6,991,0
1052,8704,2022,550,0,0,0,0,12,0.0,0,8,0,9,0,0,76.7,1051,0
7654,3912,2014,200,0,0,0,0,28,0.0,0,36,0,21,0,0,77.3,1176,0
49,4501,2018,200,0,0,0,1,12,0.0,0,0,0,18,0,0,69.4,1175,0
10291,2698,2009,200,0,0,1,858,85,0.0,1,11,0,50,0,0,52.6,1107,1
11620,1373,2016,200,0,0,0,1,23,0.0,2,216,0,11,0,0,78.4,1342,0
12391,2006,2013,200,0,0,0,4,21,0.0,0,0,0,11,0,0,56.3,1217,1
6653,2872,2008,200,0,0,0,178,15,0.0,1,71,0,6,0,0,74.4,1317,0
3011,1546,2020,491,0,0,0,0,11,0.0,0,6,0,9,0,0,70.1,1063,0
12715,4787,2022,1013,0,0,0,1,7,0.0,0,2,0,11,0,0,77.1,1157,0
11000,2122,2008,200,0,0,0,406,21,0.0,1,9,0,16,0,0,66.7,1213,0
2687,2006,2013,200,0,0,0,0,6,0.0,0,1,0,14,1,0,71.0,1091,0
2298,1788,2017,1250,0,0,0,3,18,0.0,0,37,0,22,0,0,59.7,1046,0
2991,1375,2021,575,0,0,0,1,11,0.0,0,5,0,6,0,0,70.4,1148,0
3948,1413,2021,613,0,0,0,0,9,0.0,0,5,0,5,0,0,69.5,1065,0
10788,7241,2015,200,0,0,0,712,26,0.0,0,186,0,4,0,0,76.0,1275,0
112,1647,2019,200,0,0,0,6,27,0.0,4,0,0,18,0,0,57.4,1066,0
10108,1000,2014,200,0,0,0,1,12,0.0,0,130,0,23,0,0,87.2,1295,0
4839,2041,2017,200,0,0,0,6,22,0.0,4,118,0,21,0,0,73.0,1251,0
10413,2740,2019,200,0,0,0,3,22,0.0,2,223,0,10,0,0,79.2,1355,0
393,1177,2008,377,0,0,0,576,14,0.0,0,121,0,5,0,0,81.0,1064,0
2532,2670,2014,200,0,0,0,3,30,0.0,0,26,0,19,0,0,63.7,947,0
4996,1606,2008,200,0,0,1,222,11,0.0,0,2,0,18,0,0,58.3,984,0
5605,1738,2010,200,0,0,0,322,21,0.0,0,92,0,3,0,0,79.6,1181,0
108,2400,2009,200,0,0,0,577,19,0.0,1,181,0,13,0,0,79.4,1242,0
1551,2043,2016,200,0,0,0,1,18,0.0,0,201,0,25,0,0,76.1,1198,0
7101,2169,2017,669,0,0,0,4,17,0.0,0,0,0,9,0,0,63.4,1137,0
11589,1597,2014,200,0,0,0,516,28,0.0,1,6,0,19,0,0,62.7,1196,0
10889,3320,2018,200,0,0,0,5,45,0.0,1,190,0,16,0,0,68.8,1236,0
7752,1390,2008,375,0,0,0,182,11,0.0,1,88,0,15,0,0,75.4,1323,0
3310,3977,2022,550,0,0,0,0,20,0.0,0,0,0,10,0,0,72.2,1114,0
5437,1387,2009,587,0,0,0,189,17,0.0,0,124,0,14,0,0,70.6,1060,0
7548,4088,2019,606,0,0,0,33,14,0.0,0,19,0,16,0,0,76.3,1204,0
13175,2022,2013,200,0,0,0,397,15,0.0,1,161,0,13,0,0,80.6,1085,0
2094,1343,2011,543,0,0,0,0,13,0.0,1,244,0,5,0,0,82.0,1409,0
12473,2925,2009,200,0,0,0,264,14,0.0,0,1,0,19,0,0,54.9,1113,0
7808,4477,2020,812,0,0,1,2,13,0.0,0,17,0,16,0,0,68.1,1051,0
12982,3726,2021,200,0,0,0,0,30,0.0,0,62,0,16,0,0,64.7,1077,0
11831,3392,2021,200,0,0,0,8,83,0.0,1,0,0,23,0,0,38.2,32,0
11782,3453,2017,200,0,0,0,5,53,0.0,1,115,0,15,0,0,68.5,1140,0
8132,4005,2012,200,0,0,0,24,39,0.0,17,69,0,16,0,0,62.7,1244,0
9820,1555,2016,371,0,0,0,0,11,0.0,0,265,0,22,0,0,85.5,1424,0
2141,1331,2017,531,0,0,0,2,8,0.0,0,1,0,18,0,0,72.5,1206,0
10080,4628,2014,200,0,0,0,479,18,0.0,0,173,0,12,0,0,78.5,1274,0
163,1000,2016,200,0,0,0,67,13,0.0,0,99,0,18,0,0,78.3,1077,0
4006,1757,2008,550,0,0,0,328,15,0.0,0,112,0,10,0,0,74.2,1086,0
7822,11531,2013,200,0,0,0,661,24,0.0,1,185,0,13,0,0,74.7,1275,0
8795,3390,2013,200,0,0,0,0,10,0.0,0,17,0,28,0,0,80.0,1169,0
5708,2449,2017,200,0,0,0,0,7,0.0,0,1,0,5,0,0,71.2,1180,0
2988,2010,2016,200,1,0,0,3,17,0.0,0,4,0,22,0,0,71.4,1024,0
13894,3226,2015,200,0,0,0,6,51,0.0,2,33,0,35,0,0,60.4,1114,0
7868,5736,2014,200,0,0,0,7,22,0.0,4,0,0,16,0,0,62.1,941,0
304,2089,2008,200,0,0,0,260,10,0.0,0,1,0,18,0,0,68.3,1027,0
9202,4904,2022,604,0,0,0,0,2,0.0,0,36,0,5,0,0,100.1,886,0
12039,1194,2014,394,0,0,0,3,52,0.0,1,24,0,29,0,0,62.2,1107,0
3349,2734,2019,790,0,0,0,6,18,0.0,4,13,0,3,0,0,61.2,983,0
8792,7534,2015,200,0,0,0,775,32,0.0,0,168,0,16,0,0,73.1,1299,0
1981,4370,2011,200,0,0,1,288,82,0.0,1,1,1,26,0,0,77.4,1088,0
12785,2056,2014,200,0,0,0,493,24,0.0,0,114,0,19,0,0,70.5,1281,0
