sentence_id,sentence,answer
bca765cd7c6837e739d166b6af77f245,"Since William Shakespeare lived more than 400 years ago, and many records from that time are lost or never existed in the first place, we don't know everything about his life.","윌리엄 세익스피어가 400년보다 더 오래전에 살았기 때문에, 그리고 그 시기에서 기록된 많은 자료들이 없어졌기 때문에 혹은 애초에 존재하지 않기 때문에, 우리는 그의 삶에 대해 모든 것을 알지는 못한다."
5348efef4cecc009970016825a131b94,That kind of gesture in Muslim society was considered the worst kind of insult.,그러한 종류의 제스처는 무슬림 사회에서 가장 좋지 않는 종류의 모욕으로 간주되었다.
01b55d15ae4b0029f944c7d00295e875,"In April, the average retail price for a lime hit 56 cents, more than double the price last year.",4월에 라임 하나의 평균 소매 가격은 작년 두 배 가격 이상인 56센트를 쳤다(56센트에 달했다).
e4c6158c73c2a2fac007d62ef0e805f4,"It is something tangible, clearly defined and measurable.",그것은 실체가 있고 분명히 정의되며 측정할 수 있는 어떤 것이다.
002b0ee4f3fe2f1c85b7b3949afcbee7,Take the choice of which kind of soup to buy.,어떤 종류의 수프를 살지에 대해 선택해라.
bafeb5ad9c028f05101c9103be1271ff,"What is the significance of $75,000?","75,000달러의 의의는 무엇일까?"
9d65bc96632160fb344910f82cdb8a17,Some companies provide their employees with cafeteria incentive programs.,일부 회사들은 직원들에게 카페테리아 장려금 프로그램을 제공한다.
67ae00924359c75316c973bc72e58287,Computers create experiences that engage a user's psychology and motivate a response.,컴퓨터는 사용자의 심리를 끌어들여 반응을 유발하는 경험을 만들어 낸다.
d8c162503f057f4bb6628cef73806256,"They know that artistic representation is always explaining, refining, and making clear the object depicted.","그들은 예술적 표현이 항상 묘사되는 사물을 설명하고, 다듬고, 명확하게 만드는 것이라는 것을 안다."
123e9f02b12b1c285db6e98f42570e48,Sea snakes are some of the most venomous creatures on Earth.,바다뱀은 지구상에서 가장 독성이 강한 뱀의 일부이다.
cc543e6117159c6b7c1397c9cac34864,The brownish tablet weighs 0.3 grams and is composed of 80 percent tea and 20 percent their flavors.,"그 갈색을 띈 알약은 0.3그램의 무게가 나가고, 80퍼센트의 차와 20퍼센트의 그들의 향으로 이루어져 있다."
a0bbc28ca1af91e5bdb75cd3687d6a6a,"These tricks are made possible by cookies, small files that an Internet server stores inside individuals' web browsers so it can remember them.",이러한 기술들은 인터넷 서버가 개인들의 웹브라우저들을 기억할 수 있도록 개인들의 웹브라우저 안에 저장하는 작은 파일인 cookie에 의해 가능해진다.
bd65b7345e32e28d0eeb3ec5120bed57,"Later on, when your dad found out about your younger brother's autism, he said one thing I will never forget.","나중에, 너의 아빠가 너의 남동생의 자폐증에 대해 알게 되었을 때, 그는 내가 절대 잊지 못할 한 가지를 말했다."
f75bbcf000633bc91ce994c66aa46f7e,➂ Teaching is a common way for writers to make a living today.,가르치는 일은 오늘날 작가들이 생계를 유지하는 일반적인 방법이다.
d21c03efec882fad35d69f1a47517f19,Or was it work experience?,아니면 직무 경력이었을까?
1f1e06e470ff514dcef1fba1af522d89,It has been proven that smoking is a direct cause of lung cancer.,흡연이 폐암의 직접적인 원인이라고 입증되었다.
84b22d342199480834b286f18b85c748,④ the least conservative people .,가장 덜 보수적인 사람들
8ea4b93aaf92d148e3482c8e40fc5a0d,"Eligible voters were British, Irish, and Commonwealth citizens (18 and over) living in the UK.","자격 있는 유권자는 영국인, 아일랜드인, 그리고 영연방에서 살고 있는 18세 이상의 영연방 시민이었다."
7dccc0af37a161f192791df822491fdf,Negotiating the exit will take approximately two years.,탈퇴를 협희하는 것은 대략 2년이 필요할 것이다.
36d750b59b6927510267fcb09e651785,② Because we know everything about him .,우리는 그에 대한 모든 것을 알기 때문에
44499549f2fab70e9fcd2a14f5c8134b,Taichi‚ which has roots in Chinese martial arts‚ uses a series of slow‚ flowing motions and deep‚ slow breathing to exercise the body and calm the mind.,"태극권은, 그런데 그것은 중국 무술에 뿌리를 둔다, 몸을 운동시키고 마음을 진정시키기 위하여 일련의 느리고 흐르는 듯한 움직임과 깊고 느린 호흡을 사용한다."
fa8c26229782792a33984184515b4ed1,ⅲ The Best Way to Improve Your Dancing .,당신의 춤을 향상시킬 최고의 방법
05e82df099817c759db188dc9dd948ab,Wan also explained that the sounds of the Gayageum cannot be emulated on any other string instrument.,Wan은 가야금의 소리는 다른 현악기에서 모방될 수 없다고 또한 설명했다.
72c5db4d9e4e64bdea64b2b2d19c28fc,she asked.,그녀가 물었다.
c6bf57b7b09b8fbd4656da20385af6f1,Most geologists specialize in a particular area.,대부분의 지질학자들은 특정한 분야에서 전공한다.
182688ee783ade277e18d131ed548070,Focusing closely on one area of study allows geologists to gain detailed knowledge.,연구의 한 분야에 면밀하게 집중하는 것은 지질학자들이 상세한 지식을 얻도록 허락한다.
e56d454f0b1010ebae6fdea5d8450eaf,They look for evidence of what occurs below the surface before earthquakes happen.,그들은 지진이 일어나기 전에 표면 아래에서 일어나는 것의 증거를 찾는다.
049dfbb62bfef6a2bdc40932c15a9908,ⅲ What is Geology?,무엇이 지질학인가?
9909603e370f2e779c7905b87c4afcf4,"Instead, it's a result of the way lucky people think and act, which means that anyone can learn to be lucky!","대신에, 그것은 운 좋은 사람들이 생각하고 행동하는 방식의 결과이다, 그리고 그것은 누구든지 운 좋아지는 것을 배울 수 있다는 것을 의미한다."
4bd099fe226cb22e7f12fe623e65bfed,You could even make some awesome new friends.,당신은 심지어 몇몇 멋진 새로운 친구들을 사귈 수 있다.
28923dd23e5c8b451cbd47305c85c17d,"The average grocery store carries over 10,000 items, yet you can quickly tell me where to find most of them.","보통의 식료품점은 만 개 이상의 품목들을 취급한다, 그러나 당신은 나에게 그것들 대부분을 어디에서 찾아야 하는지를 빨리 말할 수 있다."
07ad3dda02c20043f180d046c04e4754,"According to Veblen, these goods must signal high status.",Veblen에 따르면 이러한 재화들은 높은 지위를 나타내야 한다.
c26548271b9c9564bdf4c878eca9a745,"Attack and defense against other minds, gathering, storing, and analyzing information―this is what it is good at, but it is not at all creative.","다른 생각에 맞서는 공격과 방어, 정보를 수집하기, 저장하기, 그리고 분석하기 - 이것은 그것(생각)이 잘하는 것이지만, 이것은 전혀 창의적이지 않다."
737824b6008ef586f4b5c5df7a8d1b99,"Just as in modern times, people loved extreme sports.",현대 시대와 마찬가지로 사람들은 극한 스포츠를 좋아했다.
e13b25ad74302d5bf9d9d24341e44668,"This was the pankration, or an extreme mix of wrestling and boxing.","이것은 판크라티온이었는데, 즉 레슬링과 복싱의 극한 조합이었다."
ea69e84904b6b7bcc012ccf76631c611,"In this event, only two rules applied.",이 경기에서는 오직 두 가지 규칙만이 적용되었다.
c21112e4fd6ad06096b0e40a27f00ba8,The aggregate of many readings will provide a more comprehensive picture.,많은 측정값들의 총합이 더 포괄적인 그림을 제공할 것이다.
da12da99b52ad245bc59be5b03f74636,"There is, thus, a risk of sudden sliding and subsequent accidents.",따라서 갑작스러운 미끄러짐과 뒤따르는 사고의 위험이 있다.
f57c569f0495979a9a6dd66c39a92669,"To ensure safe driving, it is best to examine your car before starting.",안전한 운전을 위해서 출발하기 전에 당신의 차를 점검하는 것이 최선이다.
3f19025135a2bb7da3f5d568f9036c8f,"Basically, those who never make mistakes are perceived as being less attractive and ""likable"" than those who make occasional mistakes.",기본적으로 실수를 전혀 저지르지 않는 사람들은 이따금 실수를 저지르는 사람들에 비해 덜 매력적이고 덜 호감이 가는 것으로 인지된다.
8a6efba2a4cb4f3eb2f0f6358b33b806,In this instance the ball went through the net and the scoreboard increased by two points.,이 사례에서 공은 그물망을 통과했고 점수판은 2점만큼 증가했다.
cb86d1bd762fa4284c6e79ea64bbe458,Bull died from cancer in his home in 1880.,Bull은 1880년에 그의 집에서 암으로 죽었다.
3638c1f0cd11c4dbb5e7f7f23e097c6e,Most writers lead double lives.,대부분의 작가들은 이중생활을 한다
46608922eab67e77fda3eb541b0ed0e7,"Consumers can collect additional information by conducting online research, reading news articles, talking to friends or consulting an expert.","소비자들은 온라인 조사를 수행함으로써, 뉴스기사를 읽음으로써, 친구들에게 이야기함으로써, 또는 전문가에게 자문을 구함으로써 추가정보를 수집할 수 있다."
e4fe12f6eda751469299c82d56dbb289,ⅰ Too Much Information Causes Stress .,지나치게 많은 정보는 스트레스를 유발한다.
e2a70103a418731795d964c91c3666e8,"As temperatures rise further, regions such as Africa will face declining crop yields and will struggle to produce sufficient food for domestic consumption, while their major exports will likely fall in volume.","기온이 더 많이 상승함에 따라, 아프리카와 같은 지역들은 감소하는 농작물 수확량에 직면할 것이고 국내 소비를 위한 충분한 식량을 생산하기 위해 애쓸 것이다, 반면에 그들의 주요 수출은 아마 대량으로 감소할 것이다."
e4c48ba42517bca9ffbec71e84f1b20b,Of course you could.,"물론, 당신은 할 수 있다."
afb9f87551f70876718e9d9f145a7345,"By this time some of his preserved food had been tested by the French navy, which was impressed by its quality.",이때쯤 그의 보존 식품의 일부가 프랑스 해군에 의해 검증 받았었다. 그리고 그 프랑스 해군은 그것의 품질에 감명 받았다.
3d671efa499a6ac85b29c118136043d9,③ the law of supply and demand does not work anymore .,공급과 수요의 법칙은 더 이상 작동하지 않는다
4063529fad4961ead6c3bd15ac2463d1,"③ If lobster went cheaper, restaurants would cut its price down.","만약 바닷가재가 더 싸진다면, 음식점들은 그것의 가격을 내릴 것이다."
41d327932e4558ee9bf3b479fb8ec2a7,③ you can't teach an old dog new tricks .,당신은 늙은 개에게 새로운 재주를 가르칠 수 없다.
b04c726225986dcec559daedd4802144,"T.S.Elliot was a banker, then a publisher.",T.S.Eilliot은 은행원이었다가 다음에 출판업자가 되었다.
24beb8e24a80efc83d889ecd590fb2fc,Other writers teach.,다른 작가들은 교사를 한다.
e8120572c808976ff887d4859fee9b6a,Chimpanzees' performance seems quite primitive when compared to that of a human child.,침팬지의 수행은 인간 아이의 그것(행동)에 비교될 때 상당히 원시적인 것처럼 보인다.
7193cad4a3eb649e4d1e758c25d50aa1,ⅳ Linguistic Similarity between Human and Chimpanzees .,인간과 침팬지 사이의 언어적 유사성
3c27921b8b517ef9f746d6f8aa78d86d,"Many people are so focused on sharing their thoughts, opinions, and ideas that they forget to think about how their message will be received, or whether it's a good idea to speak at all.","많은 사람들은 그들의 생각, 의견 그리고 아이디어를 나누는데 너무 집중해서 그들의 메시지가 어떻게 받아들여질 것인지에 대해 혹은 말을 한다는 자체가 좋은 생각인지 아닌지에 대해 생각할 것을 잊는다."
87d4e8fe851e06f5e9ec7dbbda1abec9,③ you should think learning is important .,당신은 학습이 중요하다고 생각해야 한다.
a2f35fc44d6905ca70e440b9531750e9,"Like coral snakes, many sea snakes solve this problem by warning predators up front.",산호 뱀처럼 많은 바다뱀들은 포식자들에게 서슴없이 경고함으로써 이 문제를 해결한다.
edca2d9db1973716a4dab48e0a969590,The possibility of Britain leaving the EU became known as Brexit.,영국이 유럽연합을 떠나는 것의 가능성은 브렉시트로 알려졌다.
28a1cae33016088f1061964f5de80525,ⅳ The value of the Euro had risen after the vote .,유로의 가치가 투표후에 올랐다.
6394fc99d77ae04cc14d3a8adb398b5b,"There are no methods for successful prediction, especially in areas involving complex social and technological changes, where many of the determining factors are not known and, in any event, are certainly not under any single group's control.","특히 복잡한 사회 그리고 기술적인 변화들을 포함하는 영역에서 성공적인 예측을 위한 방법은 없다, 그런데 그곳에서 많은 결정하는 요소들이 알려지지 않았다 그리고, 어떤 경우에서든 확실하게 어떤 단일 그룹의 통제에 있지 않다."
64e1f5bb30806119f5dc3040d8d12383,"Global hyperconnectivity and increased system integration have led to vast benefits, including worldwide growth in incomes, education, innovation, and technology.","전 지구적 초연결 현상은 그리고 증가된 시스템통합은 소득, 교육, 혁신, 그리고 기술 분야에서 세계적 성장을 포함하면서 막대한 이익으로 이끌었다."
8a155e2a5d98fae32aeef45344884a7c,"But the inclusion of quantum mechanics modifies this conclusion in a profound way, and Hawking found that black holes do emit radiation, quantum mechanically.",그러나 양자역학의 포함은 이러한 결론을 엄청난 방식으로 수정한다 그리고 호킹은 블랙홀이 복사열을 양자역학적으로 방출한다는 사실을 발견했다.
cdc17239b98baa3be5cae656f7d43352,"""For me‚ this class is very useful.""","“저에게, 이 수업은 매우 유용합니다."""
7fb1005a50c03650ad2266e8f25cb651,"""Because I mainly study traditional Chinese music‚ it's interesting to compare traditional Korean music with traditional Chinese music‚ because there are some elements that have actually remained with traditional Korean music that are no longer found in the traditional Chinese music.""","제가 주로 중국 전통음악을 연구하기 때문에, 한국 전통음악을 중국 전통음악과 비교하는 것은 흥미롭습니다. 왜냐하면 중국 전통음악에서 더 이상 찾을 수 없는 몇몇 요소들이 한국 전통음악에 있기 때문입니다."
505f017c61922a8b76e9d00904559bcf,Many artists can work only when they concentrate on their own endeavor completely alone and many refuse to show their unfinished pieces to anyone.,많은 예술가들은 오직 그들이 자기 자신의 노력에 완전히 홀로 집중할 때만 일할 수 있다 그리고 많은 이들이 그들의 미완성 작품을 누구에게도 보여주기를 거부한다.
6681c50ec9390df1c4ae104a36c01936,② luck brings you closer relationships .,운은 당신에게 더 가까운 관계를 가져다준다.
73011a726ab88f05cc6e686749e77cfd,"If you want to comment nonverbally on your disgust for a situation, a nose wrinkle or raising your upper lip should get your message across.","만약 여러분이 어떤 상황에 대한 혐오에 대해 비언어적으로 언급하고 싶다면, 코의 주름이 또는 윗 입술을 올리는 것이 여러분의 메시지를 이해시킨다."
fc3cfee99700769918a2a11893252bb8,"At such short durations of exposure－known as subliminal exposure－people cannot register the stimuli and hence, participants in the experiment were not expected to recall seeing the ideograms.","잠재노출이라고 알려진 그렇게 짧은 노출의 시간에 사람들은 자극들을 기록할 수 없다, 그래서 실험에의 참가자들은 표의문자를 봤던 것을 기억할 것이라고 기대되지 않았다."
9fd507ccfb4c1801884c1c9a13d550c4,"Other behavioral options include making loud noises, retreating into a shell, rolling into a tight ball, choosing to live in a predator-free area such as underground, or relying on safety in numbers by living in a group.","다른 행동 선택 사항들은 큰 소리 내기, 껍데기 안으로 물러나기, 딱딱한 공 모양으로 말기, 포식자가 없는 지역에서 살기로 선택하기, 또는 무리 안에서 삶으로써 수적인 안전함에 의지하기를 포함한다."
c2f03e3bb93651190328404d32cc203e,"Before I could turn on the light, I realized the house was incredibly cold.","내가 불을 켤 수 있기 전에, 나는 집이 믿을 수 없을 정도로 춥다는 것을 깨달았다"
9d6de4d7c9847f9ac2efccf9e2a12d6b,The ancient Olympic events were designed to eliminate the weak and glorify the strong.,고대 올림픽 경기들은 약함을 제거하고 강함을 미화하기 위해 만들어졌다.
4bf05e44a344f048c2c6323f28e6dced,"But we don't know his exact birthdate, which must have been a few days earlier.","그러나 우리는 그의 정확한 생일을 모른다, 그런데 그것은(그의 정확한 생일은) 며칠 더 일렀음에 틀림없다."
53fcbe65dc651955f1ec17b4f7004880,"In some cultures, such as in Korea and Egypt, politeness norms require that when someone is offered something to eat or drink, it must be refused the first time around.","한국이나 이집트에서와 같은 일부 문화권에서는 공손함 규범은 누군가가 먹을것 또는 마실것을 제안 받을 때, 그것(먹을 것이나 마실 것을 제안받음)은 처음에는 거절되어야 하는 것을 요구한다."
52645dc60d2c7ef2814faf6b2bca56c6,"Because in most places such a standard does not hold, anorexia is not prevalent outside the United States.","대부분의 장소에서 그러한 기준은 적용되지 않기 때문에, 거식증은 미국 외에서 일반적이지 않다."
bc393bbb22ea8812956a57fb6f42f7c0,"Furthermore, anorexia nervosa is a fairly recent disorder.",더군다나 거식증은 상당히 최근의(최근에 생긴) 장애이다.
dcd32f91450c514676b6af8c22851093,This is why a dog is generally more sensitive to movement but sees only about 75 percent of the detail we see.,이것이 일반적으로 개가 움직임에는 더 민감하지만 우리가 보는 세부 사항의 약 75 퍼센트만 보는 이유이다.
0a64369ac60d624a4df2de83450fb1f5,Let them know honestly how you are feeling and allow yourself some opportunities to avoid responsibility and give yourself a chance to relax.,"어떻게 여러분이 느끼고 있는지를 그들이 솔직하게 알게 하라, 그리고 여러분 자신에게 책임감을 피할 몇몇 기회들을 허용하고 여러분 자신에게 쉴 기회를 제공해라."
31e64b2b277ed02d071e6b867df1cbab,"Some knowledge, on the other hand, is general―it applies to many different situations.","반면에 어떤 지식은 일반적이다. 즉, 그것은 많은 다른 상황에 적용된다."
a1708821e633370819a0916d84739bde,It was the world's first university.,그것은 바로 세계의 첫 번째 대학이었다.
7e128eca526aa522091fe27ae317523c,The immune system is so complicated that it would take a whole book to explain it.,면역 체계는 너무나 복잡해서 그것을 설명하기 위해 완전한 책 한 권이 필요할 것이다.
8363c06d04ae685fe7d5277a4248dd1c,And then the good feeling turned bad.,그러고 나서 좋은 느낌은 나쁘게 바뀌었다.
a1755f9b22994da887b4648416055fae,"He forgot every word of his poem, including the title, but he didn't have a copy of it to read from.","그는 시의 제목을 포함한 시의 모든 구절들을 잊어버렸으나, 보고 읽기 위한 종이 한 장 갖고 있지 않았다."
1b1f1c9ec251f29eecbfde662259265b,"It appears to be the income considered ""adequate"" to meet people's basic needs.",그것은 사람들의 기본 욕구를 충족시키기에 ‘충분하다’고 여겨지는 소득인 것으로 보인다.
c718c14a79753f775e8a7217c48d244d,Another individual might purchase additional life insurance or medical coverage to meet his or her specific needs.,또 다른 개인은 자신의 특정한 필요를 충족하기 위해서 추가적인 생명 보험이나 의료 보장을 구매할 수도 있다.
b858dc721c8f5fb814e459ddb67558ee,Sadness in our culture is often considered an unnecessary and undesirable emotion.,우리 문화에서 슬픔은 종종 불필요하고 바람직하지 않은 감정으로 여겨진다.
52cd48280b1edf2ad57d846ddc768f4d,Conservation involves protecting existing natural habitats.,보존은 현존하는 자연 서식지들을 보호하는 것을 포함한다.
aa995385e677c5bc09e8053a3f86c8aa,Beaches were closed.,해변은 폐쇄되었다.
c2b930ac36466119f97ab213d576877a,That doesn't mean you have to plan your vacation at the beach in December.,그것은 네가 12월에 해변에서의 휴가를 계획해야 한다는 것을 의미하지 않는다.
3981f5a1a7ccd44aa76ab5cbfa4eda8f,ⅱ Advertisement: Noise for TV Viewers .,광고: TV시청자들에 대한 소음
f2ee748ab302a058f15a5b063ecd66ba,"And at seventeen, she opened her very own school for girls, where she taught them science and math.",그리고 열 일곱살에 그녀는 여자 아이들을 위한 자신만의 학교를 열었고 거기에서 그녀는 그들에게 과학과 수학을 가르쳤다.
ea3d1c9ab4e82dc2d73ff2bfad08b4f1,Mitchell rocketed to the forefront of American astronomy when she spotted a comet through her telescope.,Mithchell은 그녀가 그녀의 망원경을 통하여 혜성을 발견했을 때 미국 천문학계의 중심으로 급부상했다.
8e1c4c3d68c149ed4e121c8f3c0902e7,"Reason, on the other hand, aims at understanding; it tries to find out what is beneath the surface, to recognize the kernel, the essence of the reality which surrounds us.",반면에 이성은 이해하는 것을 목적으로 한다; 그것(이성)은 표면 밑에 무엇이 있는지를 알아내려고 그리고 우리를 둘러싼 현실의 본질인 알맹이를 인식하려고 애쓴다.
c9cf70e671c7c755d94ffd9443cef86b,"Studies have shown that people prefer inexpensive wines in blind taste tests, but that they actually get more pleasure from drinking wine they are told is expensive.",연구들이 사람들이 블라인드 맛 테스트에서 비싸지 않은 와인들을 선호하지만 그들이 듣기로 비싼 와인을 마시는 것으로부터 실제로 더 많은 기쁨을 얻는다는 것을 보여주었다.
186583cc36583dfa28de47c035ba5c3b,Some of it may freeze to hail.,그것 중에 일부는 얼어서 우박이 내릴 수도 있다.
2a211492f952cf3be9d21ff03bdb61a7,"Plus kohlrabi contains fiber, useful amounts of vitamin C, together with vitamin B, potassium and calcium.","게다가, 콜라비는 섬유질과 칼륨, 칼슘, 비타민 B와 함께 도움되는 양의 비타민 C를 함유한다."
00e7d38cfdba66c3e2373e1919e1ff7a,Afterwards I ate with the other teachers.,그 후에 나는 다른 선생님들과 함께 식사를 했다.
268aa38da90310089f1e83801ca67a3a,It's often said that you can't teach an old dog new tricks.,남들이 당신은 늙은 강아지에게 새로운 재주를 가르칠 수 없다고 종종 (말)한다.
01e5d2a7aaa3806ee4762b41480d1267,"I will teach him everything he needs to know in those two years.""",나는 그에게 2년 동안 그가 알기를 필요로 하는 모든 것을 가르쳐 줄 거야.”
56387a6cc5b31e6c5f0303d3d5116a23,ⅱ funny and humorous .,재미있는 그리고 유머러스한
5b7309a7931e904eff88502a186e11ba,Others had praised the organization.,다른 사람들은 그 조직을 칭찬했다.
96a40c8619b7136cb3d02ff7aa80b342,"ⅰ To get a job, be a pleasant person .","직업을 얻으려면, 유쾌한 사람이 되어라."
20cbfc0884c1c2ff5c9fb2288474aeee,ⅰ Necessities to Protect Chimpanzees .,침팬지를 보호할 필요성
32c69e7d56d60219238d26a477b0c398,"That is why our brain stem is surrounded by the R-complex, then the limbic system and finally the cerebral cortex.","그것이 바로 우리의 뇌간이 R 영역으로, 그 다음 변연계로 그리고 마지막으로 대뇌피질로 둘러싸여 있는 이유이다."
c7a29ffc651b369c7c8fd15d636dcb91,"This was the case until Hawking, in 1974, discovered something truly amazing.",이것이 호킹이 1974년에 진정으로 놀라운 무언가를 발견했을 때까지 사실이었다.
ad584c5c97747b3bf5b96c185a1d538e,"Black holes, Hawking announced, are not completely black.",호킹은 블랙홀이 완전히 검지 않다고 선언했다.
a68f8ae5b0091d9e612ac11dfd16fa17,ⅱ Mystery of the Quantum World .,양자 세계의 미스테리
0d4c3f54e50681ea43d1779b96c33efc,ⅲ The Birth of General Relativity .,일반 상대론의 탄생
6f988b582970b29849513ae42cad28ee,"In an early demonstration of the mere exposure effect, participants in an experiment were exposed to a set of alphabets from the Japanese language.",단순한 노출 효과의 초기 증거에서 실험에서의 참가자들은 일본어에서 나온 일련의 문자에 노출되었다.
